canonical_name,e_code,cas_number,fda_status,eu_status,fssai_status,adi_mg_per_kg,default_risk_tier,source_url
Tartrazine,E102,1934-21-0,Permitted,Approved,Permitted with limits,7.5,caution,https://www.fssai.gov.in
Sunset Yellow,E110,2783-94-0,Permitted,Approved,Permitted,2.5,caution,https://www.fssai.gov.in
Sodium Benzoate,E211,532-32-1,GRAS,Approved,Permitted,,-1,safe,https://www.fssai.gov.in
Monosodium Glutamate,E621,142-47-2,GRAS,Approved,Permitted,,-1,safe,https://www.fssai.gov.in
Carrageenan,E407,9000-07-1,GRAS,Approved,Permitted,,-1,caution,https://www.fssai.gov.in
Sodium Nitrite,E250,7632-00-0,Permitted,Approved,Restricted,0.07,concern,https://www.fssai.gov.in
Ascorbic Acid,E300,50-81-7,GRAS,Approved,Permitted,,-1,safe,https://www.fssai.gov.in
Sucralose,E955,56038-13-2,Approved,Approved,Permitted,15,safe,https://www.fssai.gov.in
BHA,E320,25013-16-5,Permitted,Under review,Restricted,0.5,concern,https://www.fssai.gov.in
Permitted Synthetic Food Colour,,,,,,,unknown,https://www.fssai.gov.in
